title,url,director,casts,rating_num,language,country,type,year,image
最佳损友闯情关,https://movie.douban.com/subject/1303724/,['王晶'],"['刘德华', '关之琳', '郑裕玲', '冯淬帆', '邱淑贞']",6.7,['粤语'],['中国香港'],['喜剧'],['1988'],['https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2415586874.jpg']
神探南茜,https://movie.douban.com/subject/1946607/,['安德鲁·弗莱明'],"['艾玛·罗伯茨', '瑞切尔·蕾·库克', '麦克斯·泰瑞奥', '乔什·佛雷特', '']",6.7,['英语'],['美国'],"['喜剧', '悬疑', '惊悚', '家庭', '犯罪', '冒险']",['2007'],['https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1895167048.jpg']
朋友和陌生人,https://movie.douban.com/subject/35299837/,['詹姆斯·沃恩'],"['Fergus Wilson', 'Victoria Maxwell', 'Amelia Conway', 'Emma Diaz', 'Poppy Jones']",6.6,['英语'],['澳大利亚'],"['剧情', '喜剧']",['2021'],['https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2632075716.jpg']
怪物,https://movie.douban.com/subject/1437883/,['郑保瑞'],"['林嘉欣', '舒淇', '方中信', '林雪', '谭竣浩']",6.5,['粤语'],"['中国大陆', '中国香港']",['恐怖'],['2005'],['https://img1.doubanio.com/view/photo/s_ratio_poster/public/p486763728.jpg']
辉夜大小姐想让我告白：天才们的恋爱头脑战 完结篇,https://movie.douban.com/subject/35314433/,['河合勇人'],"['平野紫耀', '桥本环奈', '佐野勇斗', '浅川梨奈', '影山优佳']",6.5,['日语'],['日本'],"['喜剧', '爱情']",['2021'],['https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2661927301.jpg']
好奇害死猫,https://movie.douban.com/subject/1861411/,['张一白'],"['刘嘉玲', '胡军', '宋佳', '林源', '廖凡']",6.4,"['汉语普通话', '英语']",['中国大陆'],"['剧情', '爱情', '悬疑', '惊悚']",['2006'],['https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2372011888.jpg']
日光之下,https://movie.douban.com/subject/34825959/,['梁鸣'],"['吕星辰', '吴晓亮', '王佳佳', '陈永忠', '王维申']",6.4,['汉语普通话'],['中国大陆'],['剧情'],['2019'],['https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2625833086.jpg']
妖怪都市,https://movie.douban.com/subject/1302033/,['袁祥仁'],"['林正英', '陈雅伦', '张国强', '徐曼华', '周比利']",6.4,['粤语'],['中国香港'],"['喜剧', '奇幻']",['1992'],['https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2774992233.jpg']
四平青年之三傻罪途,https://movie.douban.com/subject/34948215/,['张浩'],"['阚犇犇', '郑胖', '李阳', '张涛', '董政']",6.3,['汉语普通话'],['中国大陆'],"['剧情', '喜剧', '犯罪']",['2020'],['https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2617976005.jpg']
千杯不醉,https://movie.douban.com/subject/1419581/,['尔冬升'],"['杨千嬅', '吴彦祖', '方中信', '胡静', '钱嘉乐']",6.3,"['汉语普通话', '粤语']","['中国大陆', '中国香港']","['喜剧', '爱情']",['2005'],['https://img2.doubanio.com/view/photo/s_ratio_poster/public/p486768171.jpg']
复制娇妻,https://movie.douban.com/subject/1309179/,['弗兰克·奥兹'],"['妮可·基德曼', '马修·布罗德里克', '贝特·米德勒', '格伦·克洛斯', '克里斯托弗·沃肯']",6.3,['英语'],['美国'],"['喜剧', '科幻', '惊悚']",['2004'],['https://img9.doubanio.com/view/photo/s_ratio_poster/public/p735433926.jpg']
怪兽卡车,https://movie.douban.com/subject/24910035/,['克里斯·韦奇'],"['卢卡斯·提尔', '简·利维', '托马斯·列农', '巴里·佩珀', '罗伯·劳']",6.3,['英语'],['美国'],"['喜剧', '动作', '奇幻']",['2016'],['https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2410836053.jpg']
爱情人偶,https://movie.douban.com/subject/30446493/,['棚田由纪'],"['高桥一生', '苍井优', '古关安广', '渡边绘里', '泷正则']",6.3,['日语'],['日本'],"['剧情', '爱情']",['2020'],['https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2575357474.jpg']
惊声尖叫4,https://movie.douban.com/subject/3148064/,['韦斯·克雷文'],"['内芙·坎贝尔', '柯特妮·考克斯', '大卫·阿奎特', '艾玛·罗伯茨', '安娜·帕奎因']",6.2,['英语'],['美国'],"['惊悚', '恐怖']",['2011'],['https://img2.doubanio.com/view/photo/s_ratio_poster/public/p815987783.jpg']
恶老板2,https://movie.douban.com/subject/22508259/,"['西恩·安德斯', '赛斯·戈登']","['杰森·贝特曼', '杰森·苏戴奇斯', '查理·戴', '詹妮弗·安妮斯顿', '凯文·史派西']",6.2,['英语'],['美国'],['喜剧'],['2014'],['https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2206929127.jpg']
辛弃疾1162,https://movie.douban.com/subject/34906611/,"['张哲', '张明国']","['谢苗', '南笙', '郑文森', '高名扬', '马俊凯']",6.0,['汉语普通话'],['中国大陆'],"['动作', '古装']",['2020'],['https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2579789452.jpg']
刀见笑,https://movie.douban.com/subject/4051608/,['乌尔善'],"['安藤政信', '张雨绮', '游本昌', '刘晓晔', '徐冲']",5.9,['汉语普通话'],"['中国大陆', '中国香港', '美国']","['喜剧', '动作', '武侠', '古装']",['2011'],['https://img9.doubanio.com/view/photo/s_ratio_poster/public/p896131596.jpg']
宠物情人,https://movie.douban.com/subject/4817024/,['金炳坤'],"['张根硕', '金荷娜', '孙世彬', '小松未可子', '崔英']",5.8,['韩语'],['韩国'],"['剧情', '喜剧', '爱情']",['2011'],['https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1249580465.jpg']
牛仔和外星人,https://movie.douban.com/subject/2210143/,['乔恩·费儒'],"['丹尼尔·克雷格', '阿比盖尔·斯宾赛', '巴克·泰勒', 'Matthew Taylor', '克兰西·布朗']",5.8,['英语'],['美国'],"['动作', '科幻', '惊悚', '西部']",['2011'],['https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1091708792.jpg']
首尔站,https://movie.douban.com/subject/25840396/,['延尚昊'],"['柳承龙', '沈恩京', '李准', 'Han Sung-soo', '宋哈林']",5.8,['韩语'],['韩国'],['动画'],['2016'],['https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2370768962.jpg']
我才不会对黑崎君说的话言听计从,https://movie.douban.com/subject/26576793/,['月川翔'],"['中岛健人', '小松菜奈', '千叶雄大', '高月彩良', '岸优太']",5.8,['日语'],['日本'],['爱情'],['2016'],['https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2295161284.jpg']
方子传,https://movie.douban.com/subject/4817018/,['金大佑'],"['柳昇范', '金柱赫', '曹汝贞', '宋清晨', '金成铃']",5.8,['韩语'],['韩国'],"['情色', '历史']",['2010'],['https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1729826944.jpg']
绝种铁金刚,https://movie.douban.com/subject/1308201/,['王晶'],"['梁家辉', '毛舜筠', '陈小春', '钟欣潼', '陈冠希']",5.7,['粤语'],['中国香港'],['喜剧'],['2003'],['https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2359387001.jpg']
赌侠之人定胜天,https://movie.douban.com/subject/1775450/,['郑伟文'],"['张家辉', '杨恭如', '杜德伟', '周文健', '李蕙敏']",5.6,['粤语'],['中国香港'],['喜剧'],['2003'],['https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2381505493.jpg']
大明猩,https://movie.douban.com/subject/5919333/,['金容华'],"['徐娇', '成东日', '金康宇', '金应洙', '边希峰']",5.5,"['汉语普通话', '日语', '韩语']","['中国大陆', '韩国']","['剧情', '喜剧', '运动']",['2013'],['https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2018584477.jpg']
美丽密令,https://movie.douban.com/subject/4100696/,['王晶'],"['蔡卓妍', '吴君如', '陆毅', '谢娜', '樊少皇']",5.4,"['粤语', '汉语普通话']","['中国香港', '中国大陆']",['喜剧'],['2010'],['https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2631638588.jpg']
再见路星河,https://movie.douban.com/subject/27602185/,['袁菲'],"['王栎鑫', '张鑫', '李澈', '左立', '谭松韵']",5.4,['汉语普通话'],['中国大陆'],"['剧情', '爱情', '音乐']",['2017'],['https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2507633528.jpg']
黑猫警长之翡翠之星,https://movie.douban.com/subject/21943062/,"['于胜军', '史学刚', '青松', '施屹']","['赵路', '吴天昊', '林子杰', '刘莹', '程玉珠']",5.3,['汉语普通话'],['中国大陆'],"['喜剧', '动作', '科幻', '动画']",['2015'],['https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2256616545.jpg']
盗马记,https://movie.douban.com/subject/25713336/,['李志毅'],"['梁家辉', '郑伊健', '陈慧琳', '曾志伟', '王祖蓝']",5.0,"['汉语普通话', '粤语']","['中国大陆', '中国香港']","['喜剧', '动作', '爱情', '悬疑']",['2014'],['https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2171256764.jpg']
碟仙,https://movie.douban.com/subject/27073079/,['廉涛'],"['黄奕', '范逸臣', '程小夏', '吴烨', '马卷卷']",4.9,['汉语普通话'],['中国大陆'],"['惊悚', '恐怖']",['2019'],['https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2559111658.jpg']
陪你很久很久,https://movie.douban.com/subject/30209018/,['赖孟杰'],"['李淳', '邵雨薇', '蔡瑞雪', '宋柏纬', '屈中恒']",4.8,['汉语普通话'],['中国台湾'],"['喜剧', '爱情']",['2019'],['https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2678123003.jpg']
末日重启,https://movie.douban.com/subject/26764514/,['提姆·斯密特'],"['丹·史蒂文斯', '贝纳尼丝·玛尔洛', '麦克·鲁斯', '巴斯·凯杰泽', '泰格·格南德特']",4.2,['英语'],"['荷兰', '德国', '美国']","['动作', '科幻']",['2017'],['https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2505644718.jpg']
情遇曼哈顿,https://movie.douban.com/subject/26818312/,['李巨源'],"['王丽坤', '高以翔', '李媛', '王传君', '柯南·何裴']",3.7,"['汉语普通话', '英语']",['中国大陆'],"['喜剧', '爱情']",['2017'],['https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2500046039.jpg']
暗杀游戏,https://movie.douban.com/subject/26628380/,['萨里·奥德赛耶'],"['瓦蒂姆·提萨拉提', '维奥莱塔·吉特孟斯塔雅', '韦尼亚明·斯梅霍夫', '维克多·维尔比斯基', '娜塔莉亚·鲁多娃']",3.7,"['俄语', '英语']",['俄罗斯'],"['动作', '科幻', '惊悚']",['2016'],['https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2388681695.jpg']
